work,workLabel,origLang,origLangLabel,author,authorLabel,translatedWork,translatedWorkLabel,transLang,transLangLabel,pubPlace,pubPlaceLabel,pubCountry,pubCountryLabel
http://www.wikidata.org/entity/Q122053833,Q122053833,http://www.wikidata.org/entity/Q150,French,http://www.wikidata.org/entity/Q3014413,Daniel Marchildon,http://www.wikidata.org/entity/Q117310206,Q117310206,http://www.wikidata.org/entity/Q1450506,Canadian French,,,,
http://www.wikidata.org/entity/Q11836446,Two little savages,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q505017,Ernest Thompson Seton,http://www.wikidata.org/entity/Q121008358,Q121008358,http://www.wikidata.org/entity/Q7737,Russian,,,,
http://www.wikidata.org/entity/Q11836446,Two little savages,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q505017,Ernest Thompson Seton,http://www.wikidata.org/entity/Q121008399,Q121008399,http://www.wikidata.org/entity/Q7737,Russian,,,,
http://www.wikidata.org/entity/Q122012245,Q122012245,http://www.wikidata.org/entity/Q150,French,http://www.wikidata.org/entity/Q16267445,Gaston Tremblay,http://www.wikidata.org/entity/Q117309120,Q117309120,http://www.wikidata.org/entity/Q1450506,Canadian French,,,,
http://www.wikidata.org/entity/Q122029810,Q122029810,http://www.wikidata.org/entity/Q150,French,http://www.wikidata.org/entity/Q55979414,Nancy Vickers,http://www.wikidata.org/entity/Q117310050,Q117310050,http://www.wikidata.org/entity/Q1450506,Canadian French,,,,
http://www.wikidata.org/entity/Q2017697,The Players of Null-A,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q315059,A. E. van Vogt,http://www.wikidata.org/entity/Q120730742,Q120730742,http://www.wikidata.org/entity/Q150,French,,,,
http://www.wikidata.org/entity/Q2779707,The Voyage of the Space Beagle,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q315059,A. E. van Vogt,http://www.wikidata.org/entity/Q120730687,Q120730687,http://www.wikidata.org/entity/Q150,French,,,,
http://www.wikidata.org/entity/Q1323801,Deadhouse Gates,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q428755,Steven Erikson,http://www.wikidata.org/entity/Q121623792,Q121623792,http://www.wikidata.org/entity/Q150,French,,,,
http://www.wikidata.org/entity/Q3223992,The Book of Ptath,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q315059,A. E. van Vogt,http://www.wikidata.org/entity/Q120730850,Q120730850,http://www.wikidata.org/entity/Q150,French,,,,
http://www.wikidata.org/entity/Q122142605,Q122142605,http://www.wikidata.org/entity/Q150,French,http://www.wikidata.org/entity/Q108839372,Hélène Bouchard,http://www.wikidata.org/entity/Q117310619,Q117310619,http://www.wikidata.org/entity/Q1450506,Canadian French,,,,
